Text,Normalized Result
弥漫 / B / 细胞 / 淋巴瘤 / 消化系统 / 念珠菌 / 感染 / 病毒感染 / 免疫力 / 下降 / 口腔 / 黏膜炎 / 溃疡 / 真菌 / 感染 / 细胞 / 减低 / 放射性 / 皮炎,弥漫 / B / 细胞 / 淋巴瘤 / O / 感染 / 病毒感染 / O / 真菌 / 感染 / 细胞 / 减少 / 放射性 / 皮炎
膀胱 / 非 / 浸润性 / 乳头状 / 尿路 / 皮癌,膀胱 / 恶性肿瘤 / 非 / 侵袭 / 性 / 乳头状 / 尿路 / 皮癌
扁桃体 / 癌,扁桃体 / 恶性肿瘤 / 癌
淋巴结 / 淋巴 / 皮样 / 癌,未 / 特指 / 淋巴结 / 恶性肿瘤 / 癌
腰 / 背部 / 囊肿,腰部 / 囊肿 / 背部 / 囊肿
中度 / 慢性 / 浅表性 / 胃炎 / 伴局 / 灶 / 腺体 / 肠 / 皮化生,慢性 / 浅表性 / 胃炎 / 肠 / 皮化生
偏执狂,妄想 / 性障碍
发热 / 贫血,发热 / 贫血
送检 / 右侧 / 髋臼 / 死骨 / 纤维组织 / 伴 / 坏死 / 渗,骨坏死
肩手 / 综合症,肩手 / 综合征
胰腺 / 分裂症 / 转 / 好转,胰腺 / 分裂症
髓 / 核 / 组织 / 伴 / 部分 / 坏死 / 钙 / 盐 / 沉积,钙质 / 沉症
腰椎间盘 / 突症,腰椎间盘 / 突
L / 椎体 / 左侧 / 弓峡裂 / S / 隐裂,先天性 / 腰 / 骶椎 / 隐裂
嗜酸 / 细胞 / 性 / 结肠炎,嗜酸 / 细胞 / 性 / 胃肠炎
发作 / 性 / 双下肢 / 无力 / 查胸髓 / 病变 / 外,肢体 / 无力 / 脊髓 / 病
耳 / 特指 / 疾病 / 左侧 / 耳 / 迷路 / 积水,膜 / 迷路 / 积水 / 耳未 / 特指 / 疾病
脑 / 静脉 / 窦 / 发育 / 全,先天性 / 动静脉 / 畸形
胃窦 / 病变 / 伴 / 消化道 / 血,胃 / 十指 / 肠未 / 特指 / 疾病 / 消化道 / 血
左手 / 抖动 / 原查 / 帕金森氏 / 病,帕金森病 / 主 / 运动
高 / 铅 / 血症 / 铁低,铅中毒 / 铁 / 缺乏
乳腺癌 / 手术,乳腺 / 恶性肿瘤 / 乳腺 / 术后 / 癌
左尺 / 桡骨 / 远干 / 骺 / 端 / 骺 / 骨折,桡骨 / 远端 / 骨 / 骺 / 分 / 尺骨 / 远端 / 骨 / 骺 / 分
高血压 / 慢性 / 肾病,高血压 / 性 / 肾病
横结肠 / 结肠 / 状 / 腺瘤 / 低级,状 / 腺瘤 / 横结肠 / 良性肿瘤
右肺 / 周围 / 型 / 低 / 分化腺癌 / Ⅳ / 期,右 / 肺叶 / 恶性肿瘤 / 腺癌
胸腹 / 腰 / 臀部 / 处 / 刀伤,处 / 损伤
直肠 / 中 / 低 / 分化 / 状 / 腺癌,直肠 / 恶性肿瘤 / 状 / 腺癌
型 / 退变 / 周围 / 神 / 病变,发性 / 神病 / 发性 / 神炎 / 周围 / 神炎
右下 / 肺 / 腺癌 / 发脑 / 转移 / EGFR / 号 / 外显子 / 缺失,右肺 / 下叶 / 恶性肿瘤 / 脑 / 继发 / 恶性肿瘤 / 腺癌 / 转移性 / 腺癌
冠心病 / 陈旧 / 心梗,陈旧性 / 心肌梗死 / 冠状动脉 / 粥样 / 硬化性 / 心脏病
ECG / 窦性心 / 律非 / 特异性 / T / 波异,心电图 / 异
鼻咽 / 低 / 分化 / 鳞状 / 细胞 / 癌,鼻咽 / 恶性肿瘤 / 鳞状 / 细胞 / 癌
前降 / 支 / 中段 / 心肌 / 桥角支 / 中度 / 狭窄,冠状动脉 / 肌桥 / 冠状动脉 / 狭窄
双眼 / 慢性 / 开角型 / 青眼,开角型 / 青眼
脑血病 / 骨关节 / 病 / 肺癌 / 术后,脑血病 / 骨关节 / 病肺 / 术后 / 肺 / 恶性肿瘤 / 癌
右 / 肺癌 / 术后 / 疼痛 / 免疫 / 功血 / 抗敏 / 维生素 / 足 / 叶酸 / 足 / 行动 / 秘 / 重度 / 疼痛 / 抗敏 / 化疗 / 口腔溃疡 / 高血压 / 化疗 / 吐 / 食欲 / 减退,肺 / 术后 / 右肺 / 恶性肿瘤 / 咯血 / 维生素 / 缺乏 / 叶酸 / 缺乏 / 秘 / 疼痛 / 口腔 / 黏膜 / 溃疡 / 高血压 / 化疗 / 药物 / 反应 / 吐 / 食欲 / 振癌
外周 / 神 / 损害,发性 / 神病 / 发性 / 神炎 / 周围 / 神炎
早孕 / 哺乳期 / 核孕周 / 疤痕 / 子宫 / 两次,瘢痕 / 子宫 / 妊娠 / 状态
非 / 甲状腺 / 性变态 / 综合症,甲状腺 / 功正 / 病态 / 综合征
双足 / 膝 / 翻,足 / 畸形 / 膝翻
皮型 / 色素痣,皮痣
双膝 / 髌骨 / 局灶性 / 骨 / 梗死 / 骨 / 代谢 / 异,骨坏死
右小腿 / 截肢 / 肢麻 / 气滞 / 血瘀 / 络畅,截肢
颅 / 支架 / 植入术 / 后,血 / 支架 / 植入术 / 后 / 状态
右侧 / 乳房 / 肿块 / 分 / 叶状 / 肿瘤,叶状 / 瘤
代谢性 / 酸中毒 / 合 / 高钾血症,代谢性 / 酸中毒 / 高钾血症
周期性 / 低钾 / 麻 / 庳 / GD,低 / 钾型 / 周期性 / 瘫痪 / 低血 / 钾性 / 周期性 / 麻痹 / 家族 / 性 / 周期性 / 瘫痪
宫颈 / 鳞癌 / IIb / 放化疗 / 化疗 / 止吐 / 保心 / 保肝 / 脱水 / 利尿 / 消化 / 良 / 食欲 / 减退 / 嗽 / 痰,子宫颈 / 恶性肿瘤 / 鳞状 / 细胞 / 癌 / 放射治疗 / 化学治疗 / 消化 / 良 / 食欲 / 振嗽
盲肠 / 粪石 / 嵌顿 / 穿孔,粪 / 嵌 / 塞 / 肠穿孔
右 / 下腹 / 肌肉 / 慢性 / 炎,肌炎
L / 椎间盘 / 膨 / 中医 / 诊断 / 痹 / 病风 / 寒湿 / 痹证,腰椎间盘 / 移位
翼状 / 胬肉 / 术后,翼状 / 胬肉 / 眼 / 术后
后 / 子宫,期
右侧 / 软腭 / 划伤,口腔 / 咽喉部 / 损伤
外伤 / 膝关节 / 损伤 / 关节病 / 失眠,膝关节 / 损伤 / 关节病 / 失眠
新生儿 / 胎 / 粪 / 综合征,新生儿 / 胎 / 粪 / 吸入 / 综合征
左 / 乳腺癌 / 术 / 前 / 化疗,乳腺 / 恶性肿瘤 / 癌 / 恶性肿瘤 / 术 / 前 / 化疗
全麻 / 喉 / 部分 / 术 / 全喉 / 准备,喉 / 术后
停周 / B超 / 提示 / 胎儿 / 左侧 / 胸腔 / 混合 / 回声,孕周
右肘 / 跌伤 / 查,肢 / 损伤 / 摔伤
左眼 / 黄斑 / 劈裂 / 伴 / 视网膜 / 浅脱,视网膜 / 劈裂 / 症 / 视网膜 / 脱
左 / 膝关节 / 肿块,膝关节 / 肿物
排 / 困难 / 原 / 查结 / 直肠 / 病变 / 排,排 / 困难 / 肛门 / 直肠 / 未 / 特指 / 疾病
右 / 颈部 / 纤维 / 脂肪 / 病,颈部 / 良性肿瘤 / 纤维 / 脂肪瘤
年 / 性脑 / 改变 / 粥样 / 硬化,脑 / 动脉 / 粥样 / 硬化 / 年 / 性脑 / 变性
鼻后 / 滴漏 / 综合征,鼻窦 / 滴漏 / 综合征
右侧 / 舌 / 鳞癌,舌 / 恶性肿瘤 / 鳞状 / 细胞 / 癌
横 / 结肠癌 / 肠道 / 血 / 缺铁性 / 贫血 / 叶酸 / 缺乏 / 乙型肝炎,横结肠 / 恶性肿瘤 / 肠血 / 缺铁性 / 贫血 / 叶酸 / 缺乏 / O / 癌
脑梗塞 / 高血压 / 眩晕 / 阴虚 / 肝风,脑梗死 / 高血压 / 眩晕
左乳 / 浸润性 / 癌 / 改良 / 根治术 / 后 / pTcNMI / 期,乳腺 / 恶性肿瘤 / 乳腺 / 术后 / 浸润性 / 导癌
右侧 / 颊 / 粘膜 / 病变,口腔粘膜 / 未 / 特指 / 损害
心 / 脑缺血,脑血供 / 血足 / 心肌 / 供血足
左頰 / 粘膜 / 磷 / Ca,鳞状 / 细胞 / 癌颊 / 粘膜 / 恶性肿瘤
右 / 股骨 / 骨折 / 术后,股骨 / 骨折 / 骨折 / 术后
猝死 / 型 / 冠心病,心源性 / 猝死 / 冠状动脉 / 粥样 / 硬化性 / 心脏病
粟粒 / 结肠 / 黏膜 / 组织 / 块 / 呈 / 低级 / 状 / 腺瘤,结肠 / 良性肿瘤 / 状 / 腺瘤
回肠 / 造口术 / 状态,回肠 / 造口 / 状态
右侧 / 鼻腔 / 恶性 / 黑色素瘤,鼻腔 / 恶性肿瘤 / 黑色素瘤
左乳 / 浸润性 / 导癌 / pTNMIII / 期,乳腺 / 恶性肿瘤 / 浸润性 / 导癌 / 淋巴结 / 继发 / 恶性肿瘤
脾肿,脾
骶部 / 脊椎 / 裂,骶 / 段 / 脊柱 / 裂
慢性 / 移植物 / 抗 / 宿主 / 反应 / 病 / 皮肤 / 口腔 / 肝脏 / 眼,慢性 / 移植物 / 抗 / 宿主 / 病
下咽 / 占位,口腔 / 咽喉部 / 占位
反应 / 性 / 精神 / 症病脑 / 精分 / 情感 / 障碍,反应 / 性 / 精神病 / 精神分裂症 / 双相 / 情感 / 障碍
哮喘 / 植物 / 神功 / 紊乱,支气 / 哮喘 / 植物 / 神功 / 紊乱
宫壁 / 组织 / 显 / 变性 / 少量 / 胎盘 / 组织 / 粘,胎盘 / 粘伴 / 血
结核性 / 胸膜炎 / 右侧 / 陈旧性,陈旧性 / 胸膜 / 结核
Barrett / 食非 / 萎缩性 / 伴 / 糜烂,巴氏 / 食食 / 糜烂
宫颈 / 鳞癌 / Ⅲ / b / 期 / 化疗 / 后 / 放疗 / 中,子宫颈 / 恶性肿瘤 / 鳞状 / 细胞 / 癌 / 化学治疗 / 恶性肿瘤 / 放疗
右侧 / 乳腺 / 纤维瘤 / 术后,乳腺 / 术后 / 乳腺 / 纤维瘤
双下肢 / 肌肉 / 炎症,肌炎
类 / 风湿性关节炎 / 疼痛,类 / 风湿性关节炎 / 关节痛
右 / 胫骨 / 外 / 髁 / 股骨 / 外侧 / 髁 / 撕脱 / 性骨折,胫骨 / 外 / 髁 / 骨折 / 股骨 / 外 / 髁 / 骨折
腹胀痛 / 查 / 左 / 肺叶 / 磨 / 玻璃 / 结节 / 结肠 / 发 / 息肉 / 肠 / 镜检查 / 胃镜 / 检查 / 预防 / 血 / 结肠镜 / 下 / 息肉 / 电 / 预防 / 血 / 甲状腺癌 / 胃溃疡,腹痛 / 腹胀 / 肺 / 占位性 / 病变 / 结肠 / 息肉 / 甲状腺 / 恶性肿瘤 / 胃溃疡 / 癌
膀胱 / 充盈 / 欠佳 / 前列腺 / 增,前列腺 / 增生
肝肾 / 功良,肝功 / 异肾 / 功异
右手 / 皮脂腺 / 囊肿,皮脂腺 / 囊肿
TT / 椎体 / 陈旧性 / 压缩 / 改变,胸椎 / 压缩性 / 骨折 / 陈旧性 / 胸椎 / 骨折
右乳 / 乳腺癌,乳腺 / 恶性肿瘤 / 癌
左足 / 副 / 舟骨 / 源性 / 平足 / 症,先天性 / 足 / 副 / 舟骨 / 扁平足
左 / 先天性 / 睑下垂 / 右 / 下肢 / 肌萎缩 / 查,先天性 / 睑下垂 / 下肢 / 肌肉 / 萎缩
急性 / 胰腺炎 / 性 / 脊髓 / 病性,脊髓 / 病 / 急性 / 胰腺炎
卵巢癌 / 术后 / 复发 / 腹腔 / 转移,卵巢 / 术后 / 卵巢 / 恶性肿瘤 / 腹腔 / 继发 / 恶性肿瘤 / 癌 / 转移性 / 癌 / 恶性肿瘤 / 复发
左乳 / 象限 / 浸润性 / 导癌 / II / 级 / 术后 / 化疗 / 后,乳腺 / 恶性肿瘤 / 浸润性 / 导癌 / 恶性肿瘤 / 术后 / 化疗
胰 / 分裂症,胰腺 / 分裂症
右肢 / 猫 / 抓伤,猫 / 抓病
肺 / 肾阴虚 / 冠心病,冠状动脉 / 粥样 / 硬化性 / 心脏病
双胎 / 羊水 / 增 / 胎儿 / 肠 / 扩张,双胎 / 妊娠 / 妊娠 / 合 / 羊水
左 / 下 / 肢体 / 无力 / 查,肢体 / 无力
右 / 结肠 / 隆型 / 中 / 分化 / 癌侵 / 粘膜 / 下层,结肠 / 恶性肿瘤 / 癌
精神 / 运动 / 发育 / 迟缓 / 代谢 / 病,发育 / 迟滞
肢 / 皮肤 / 下垂 / 时斑,斑病 / 类处
硬膜外 / 血肿 / 伴全 / 瘫 / 胸椎 / 体 / 水平,完全性 / 瘫痪 / 硬膜外 / 血肿
耳 / 耳石 / 症,良性 / 阵发性 / 位置 / 性 / 眩晕
继发性 / 间质 / 肺 / 疾病,间质性 / 肺病 / 放射性 / 损害
特指 / 手术 / 后 / 状态 / 甲状腺癌 / 术后 / 子宫 / 肌瘤 / 剜 / 术后 / 宫外孕 / 术后,特指 / 手术 / 后 / 状态 / 甲状腺 / 恶性肿瘤 / 甲状腺 / 术后 / 癌 / 子宫 / 平滑肌 / 瘤 / 子宫 / 术后 / 异位 / 妊娠
发热 / 肺部 / 感染 / 头晕 / 脑血 / 后遗症,发热 / 肺部 / 感染 / 头晕 / 脑血 / 后遗症
右侧 / 冈 / 肩胛 / 下 / 肌腱 / 退变 / 部分 / 撕裂,肩胛 / 下肌 / 肌腱 / 损伤
腰椎 / 神根 / 压迫 / 症,椎间盘 / 疾患 / 引神 / 根神丛 / 压迫 / MSM
肾腺 / 发育 / 全,肾腺 / 发育 / 良
敏性 / 鼻炎 / 伴 / 鼻息肉,敏性 / 鼻炎 / 变应性 / 鼻炎 / 鼻息肉
主动脉瓣 / 尖瓣 / 慢性病 / 变,未特 / 指尖 / 瓣 / 疾病 / 未 / 特指 / 主动脉瓣 / 疾患
GP / 孕周 / 已产 / LO,正 / 分娩
心律 / 失 / 心房 / 纤颤 / 频发 / 室性早搏,心律 / 失 / 心房颤动 / 心房 / 纤颤 / 频发 / 性室 / 性期 / 前 / 收缩
左手 / 麻木 / 伴 / 右腿 / 无力 / 查,肌无力
肝脏 / 肝细胞 / 弥漫性 / 脂肪 / 变性 / 水样 / 变性,脂肪肝
左 / 肱骨 / 骨质 / 缺损,骨质 / 破坏
左 / 跗 / 跖 / 关节 / 劳损,足未 / 特指 / 部位 / 扭伤 / 劳损
胰腺 / 肿瘤 / 囊 / 腺瘤,囊 / 腺瘤 / 胰腺 / 良性肿瘤
宫颈 / CINI / 停原,子宫颈 / 皮瘤样 / 病变 / CINI / 级 / 停
陈旧性 / 阴度 / 撕裂 / 阴道 / 前后 / 壁膨度,陈旧性 / 阴裂 / 伤 / 阴道 / 前后 / 壁 / 脱垂
复诊 / T / 髓 / 囊肿 / 保守 / 治疗 / 中,脊髓 / 囊肿
右 / 肺癌 / 伴 / 全身 / 发 / 转移 / IV / 期骨脑,右 / 肺叶 / 恶性肿瘤 / 部位 / 继发 / 恶性肿瘤 / 脑 / 继发 / 恶性肿瘤 / 骨 / 继发 / 恶性肿瘤 / 癌 / 转移性 / 癌
直肠癌 / 新 / 辅助 / 化疗 / 后,直肠 / 恶性肿瘤 / 化学治疗 / 癌
嗅觉缺乏,嗅觉 / 丧失
左手 / 中 / 指指 / 背 / 皮肤 / 挫裂 / 缺损,手指 / 挫伤 / 皮肤 / 缺损
左膝 / 腓肠肌 / 拉伤,小腿 / 后部 / 肌群 / 肌腱 / 损伤
慢性 / 阻塞性 / 肺气肿 / 疾病 / 急性 / 加重 / 期,阻塞性 / 肺气肿 / 慢性 / 阻塞性 / 肺 / 疾病 / 急性 / 加重
附件 / 转移 / Ⅳ / 期 / 根治术 / 后 / Dixon / 术,子宫 / 附件 / 继发 / 恶性肿瘤
盆腔 / 淋巴结 / 继发 / 癌,盆腔 / 淋巴结 / 继发 / 恶性肿瘤 / 继发性 / 癌
疱 / 表皮 / 样癣 / 性 / 药疹,莱尔 / 综合征 / lyell / 综合征
慢性 / 淤血 / 性脾肿伴 / 局部 / 梗死,慢性 / 充血性 / 脾 / 脾 / 梗死
胆囊 / 术后 / 腹壁 / 粘,胆囊 / 术后 / 粘 / 腹壁 / 粘
慎 / 摔倒 / 致 / 左 / 髋部 / 受伤,髋部 / 损伤 / 摔伤
右 / 额叶 / 胶质 / 母细胞 / 瘤,额叶 / 恶性肿瘤 / 胶质 / 母细胞 / 瘤
弥漫 / 球性 / 增生 / 性 / 狼疮性 / 肾 / IVG,狼疮性 / 肾炎
小样儿 / 足 / 月,足 / 月 / 小样儿
右 / 下肢 / 麻木 / 原 / 腰椎病,腰椎病
左腿 / 软组织 / 裂伤,下肢 / 未 / 特指 / 损伤 / 水平 / 未 / 特指
右 / 股骨 / 骨折 / 右 / 胫骨 / 骨折 / 右 / 下肢 / 皮肤 / 软组织 / 挫裂伤 / 右 / 肱骨 / 髁 / 骨折,股骨 / 骨折 / 胫骨 / 骨折 / 下肢 / 未 / 特指 / 损伤 / 水平 / 未 / 特指 / 肱骨 / 骨折 / 肱骨 / 髁 / 骨折
颈椎病 / 胸背 / 肌筋 / 膜炎,颈椎病 / 筋 / 膜炎
美尼尔 / 氏 / 综合症 / 膜 / 迷路 / 积水,膜 / 迷路 / 积水 / 梅尼埃 / 病
血 / 结构 / 畸,血 / 畸形
生育 / 问题 / 畸形 / 精子,畸形 / 精子 / 症
钢缆 / 伤 / 左 / 膝关节,膝关节 / 损伤
头颈部 / 软组织 / 劳损,累 / 头部 / 伴 / 颈部 / 脱位 / 扭伤 / 劳损
非 / 霍金 / 淋巴瘤 / FL / 细胞 / 减少,非 / 霍金 / 淋巴瘤 / 滤泡 / 淋巴瘤 / 细胞 / 减少
颈 / 胸 / 背部 / 广泛 / 皮下 / 气肿 / 膈 / 积气,隔 / 气肿
胸腺 / 低 / 分化 / 鳞癌 / cTNMIV / 期 / 化疗,胸腺 / 恶性肿瘤 / 鳞状 / 细胞 / 癌 / 化学治疗
脑血 / 硬化症,脑血 / 硬化
前降 / 支 / 中度 / 狭窄 / 伴 / 心肌 / 桥 / 形成,冠状动脉 / 肌桥 / 冠状动脉 / 狭窄
子宫颈 / 小 / 细胞 / 癌,子宫颈 / 恶性肿瘤 / 小 / 细胞 / 癌
腰腿痛 / 心律 / 失感,腰痛 / 下肢 / 疼痛 / 心律 / 失感
缺铁缺 / 锌 / 铅 / 高 / 腹部 / 淋巴 / 肿,铁 / 缺乏 / 锌 / 缺乏 / 铅中毒 / 淋巴结 / 肿
骨关节 / 病 / 平足 / 症,骨关节 / 病 / 扁平足
敏性 / 鼻 / 咽炎,咽炎 / 敏 / 反应
结肠 / 脾曲 / 高 / 代谢 / 恶性 / 排,结肠 / 恶性肿瘤
基底 / 动脉 / 脑梗死 / 心源性,脑梗死
右肺 / 肺纤维化 / 纤维 / 灶,肺 / 诊断 / 性影异 / 肺纤维化
早孕 / 牙痛,妊娠 / 状态 / 牙痛
右腕 / 月 / 骨 / 少量 / 碎 / 骨组织 / 部分 / 似 / 坏死 / 改变,骨坏死
左胸 / 左 / 下肢 / 刀伤 / 颈部 / 胸部 / 双肢 / 枪伤,胸部 / 开放性 / 损伤 / 下肢 / 开放性 / 损伤 / 颈部 / 开放性 / 损伤 / 胸部 / 开放性 / 损伤 / 肢 / 开放性 / 损伤 / 枪 / 击伤
右肺 / 结节 / 炎症 / MT,肺 / 占位性 / 病变 / 肺炎 / 肺 / 恶性肿瘤
左 / 面部 / 麻木 / 味觉 / 减退 / 功性性,味觉 / 障碍
膀胱 / 新 / 生物,膀胱 / 息肉
胸椎 / 间隙 / 异 / 信号 / 影,特指 / 身体 / 结构 / 诊断 / 性影 / 检查 / 异
骨髓 / 增殖性 / 肿瘤 / 血小板 / 增症,慢性 / 骨髓 / 增殖性 / 肿瘤 / 血小板 / 增
子宫 / 膜样 / 腺癌 / 伴鳞状 / 皮 / 分化,子宫 / 膜样 / 腺癌 / 子宫 / 膜 / 恶性肿瘤
