Text,Normalized Result,label
西医1神经症2脑后循环缺血,后循环缺血 未特指的神经症性障碍,1.0
CA125升高癌抗原125升高,CA125升高,1.0
头痛 急性胃黏膜病变,头痛,1.0
药物性损害,药物不良反应,1.0
子宫原位癌,子宫恶性肿瘤 原位癌,1.0
右屈肘总肌腱止点撕脱性骨折,肘关节骨折,1.0
直肠中分化管状腺癌维持性化学治疗,直肠恶性肿瘤 管状腺癌 恶性肿瘤维持性化学治疗,1.0
慢性浅表性胃炎轻度萎缩,慢性浅表性胃炎 慢性萎缩性胃炎,1.0
肠激惹综合症过敏性肠综合症,肠易激综合征,1.0
颅骨巨细胞瘤,骨巨细胞瘤 颅骨良性肿瘤,1.0
自体造血干细胞移植后纵隔右肺门复发,自体造血干细胞移植状态,1.0
盆腔继发癌,盆腔继发恶性肿瘤 转移性癌,1.0
肝MT5次介入术后1月余,肝恶性肿瘤 肝术后,1.0
炎症性关节炎,关节炎,1.0
甲状旁腺功能减退症,甲状旁腺功能减退,1.0
CINII级累及腺体可见挖空细胞,宫颈上皮瘤样病变CINII级,1.0
左胫腓骨骨折术后,小腿骨折 骨折术后,1.0
蝶鞍区脑膜良性肿瘤,脑膜良性肿瘤,1.0
儿保小头围精神运动发育落后,发育迟滞,1.0
脾虚大便不调痹症高尿血酸血症,大便习惯改变 高尿酸血症,1.0
左尺神经挫伤,身体未特指部位的神经损伤,1.0
双眼高眼压左眼散粒肿,高眼压症 睑板腺囊肿霰粒肿,1.0
甲状腺肿物切除,甲状腺肿物 甲状腺术后,1.0
双足跟骨骨折,跟骨骨折,1.0
耻骨上经膀胱前列腺切除术,前列腺术后,1.0
重叠性结缔组织病,重叠综合征,1.0
舌疾患沟纹舌,舌未特指的疾病 沟纹舌,1.0
弥漫大B细胞淋巴瘤消化系统念珠菌感染病毒感染免疫力下降口腔黏膜炎溃疡真菌感染白细胞减低放射性皮炎,弥漫大B细胞淋巴瘤 O 感染 病毒感染 O 真菌感染 白细胞减少 放射性皮炎,1.0
膀胱非浸润性乳头状尿路上皮癌,膀胱恶性肿瘤 非侵袭性乳头状尿路上皮癌,1.0
扁桃体癌,扁桃体恶性肿瘤 癌,1.0
淋巴结内淋巴上皮样癌,未特指的淋巴结恶性肿瘤 癌,1.0
腰背部囊肿,腰部囊肿 背部囊肿,1.0
中度慢性浅表性胃炎伴局灶腺体肠上皮化生,慢性浅表性胃炎 肠上皮化生,1.0
偏执狂,妄想性障碍,1.0
发热贫血,发热 贫血,1.0
送检右侧髋臼为死骨纤维组织伴坏死渗,骨坏死,1.0
肩手综合症,肩手综合征,1.0
胰腺分裂症转归好转,胰腺分裂症,1.0
髓核组织伴部分坏死及钙盐沉积,钙质沉着症,1.0
腰45椎间盘突出症,腰椎间盘突出,1.0
L5椎体左侧弓峡裂S1隐裂,先天性腰骶椎隐裂,1.0
嗜酸细胞性结肠炎,嗜酸细胞性胃肠炎,1.0
发作性双下肢无力待查胸髓病变待除外,肢体无力 脊髓病,1.0
内耳特指疾病左侧内耳迷路积水,膜迷路积水 内耳未特指的疾病,1.0
脑静脉窦发育不全,先天性动静脉畸形,1.0
胃窦病变伴上消化道大出血,胃和十二指肠未特指的疾病 上消化道出血,1.0
左手抖动原因待查帕金森氏病,帕金森病 不自主运动,1.0
高铅血症铁低,铅中毒 铁缺乏,1.0
乳腺癌手术,乳腺恶性肿瘤 乳腺术后 癌,1.0
左尺桡骨远干骺端骺离骨折,桡骨远端骨骺分离 尺骨远端骨骺分离,1.0
高血压慢性肾病,高血压性肾病,1.0
横结肠结肠管状腺瘤低级别,管状腺瘤 横结肠良性肿瘤,1.0
右上肺周围型低分化腺癌Ⅳ期,右肺上叶恶性肿瘤 腺癌,1.0
胸腹腰臀部多处刀伤,多处损伤,1.0
直肠中低分化管状腺癌,直肠恶性肿瘤 管状腺癌,1.0
2型退变并周围神经病变,多发性神经病多发性神经炎周围神经炎,1.0
右下肺腺癌多发脑转移EGFR19号外显子缺失,右肺下叶恶性肿瘤 脑继发恶性肿瘤 腺癌 转移性腺癌,1.0
冠心病陈旧心梗,陈旧性心肌梗死 冠状动脉粥样硬化性心脏病,1.0
ECG窦性心律 非特异性T波异常,心电图异常,1.0
鼻咽低分化鳞状细胞癌,鼻咽恶性肿瘤 鳞状细胞癌,1.0
前降支中段心肌桥第一对角支中度狭窄,冠状动脉肌桥 冠状动脉狭窄,1.0
双眼慢性开角型青光眼,开角型青光眼,1.0
脑血管病骨关节病肺癌术后,脑血管病 骨关节病 肺术后 肺恶性肿瘤 癌,1.0
右肺癌术后疼痛免疫功能咳血抗过敏维生素不足叶酸不足行动不便便秘重度疼痛抗过敏化疗口腔溃疡高血压化疗呕吐食欲减退,肺术后 右肺恶性肿瘤 咯血 维生素缺乏 叶酸缺乏 便秘 疼痛 口腔黏膜溃疡 高血压 化疗药物反应 呕吐 食欲不振 癌,1.0
外周神经损害,多发性神经病多发性神经炎周围神经炎,1.0
早孕哺乳期核对孕周疤痕子宫两次,瘢痕子宫 妊娠状态,1.0
非甲状腺性变态综合症,甲状腺功能正常的病态综合征,1.0
双足膝内翻,足畸形 膝内翻,1.0
皮内型色素痣,皮内痣,1.0
双膝髌骨局灶性骨梗死骨代谢异常,骨坏死,1.0
右小腿截肢肢麻气滞血瘀经络不畅,截肢,1.0
颅内支架植入术后,血管支架植入术后状态,1.0
右侧乳房肿块分叶状肿瘤,叶状瘤,1.0
代谢性酸中毒合并高钾血症,代谢性酸中毒 高钾血症,1.0
周期性低钾麻庳GD,低钾型周期性瘫痪低血钾性周期性麻痹家族性周期性瘫痪,1.0
宫颈鳞癌IIb放化疗化疗止吐保心保肝脱水利尿消化不良食欲减退咳嗽咳痰,子宫颈恶性肿瘤 鳞状细胞癌 放射治疗 化学治疗 消化不良 食欲不振 咳嗽,1.0
盲肠粪石嵌顿穿孔,粪便嵌塞 肠穿孔,1.0
右下腹肌肉慢性炎,肌炎,1.0
L45椎间盘膨出中医诊断痹病风寒湿痹证,腰椎间盘移位,1.0
翼状胬肉术后,翼状胬肉 眼术后,1.0
绝经后子宫,绝经期,1.0
右侧软腭划伤,口腔和咽喉部损伤,1.0
外伤 膝关节损伤关节病 失眠,膝关节损伤 关节病 失眠,1.0
1新生儿胎粪综合征,新生儿胎粪吸入综合征,1.0
左乳腺癌术前化疗,乳腺恶性肿瘤 癌 恶性肿瘤术前化疗,1.0
全麻喉部分切除术全喉准备,喉术后,1.0
停经24周B超提示胎儿左侧胸腔内混合回声,孕24周,1.0
右肘跌伤待查,上肢损伤 摔伤,1.0
左眼黄斑劈裂伴视网膜浅脱离,视网膜劈裂症 视网膜脱离,1.0
左膝关节肿块,膝关节肿物,1.0
排便困难原因待查结直肠病变不能排除,排便困难 肛门和直肠未特指的疾病,1.0
右颈部纤维脂肪病,颈部良性肿瘤 纤维脂肪瘤,1.0
老年性脑改变粥样硬化,脑动脉粥样硬化 老年性脑变性,1.0
鼻后滴漏综合征,鼻窦滴漏综合征,1.0
右侧舌鳞癌,舌恶性肿瘤 鳞状细胞癌,1.0
横结肠癌肠道出血缺铁性贫血叶酸缺乏乙型肝炎,横结肠恶性肿瘤 肠出血 缺铁性贫血 叶酸缺乏 O 癌,1.0
脑梗塞高血压眩晕阴虚肝风,脑梗死 高血压 眩晕,1.0
左乳浸润性癌改良根治术后pT1cN0M0IA期,乳腺恶性肿瘤 乳腺术后 浸润性导管癌,1.0
右侧颊粘膜病变,口腔粘膜其他和未特指的损害,1.0
心脑缺血,脑血管供血不足 心肌供血不足,1.0
左頰粘膜磷Ca,鳞状细胞癌 颊粘膜恶性肿瘤,1.0
右股骨骨折术后,股骨骨折 骨折术后,1.0
猝死型冠心病,心源性猝死 冠状动脉粥样硬化性心脏病,1.0
粟粒大结肠黏膜组织1块呈低级别管状腺瘤,结肠良性肿瘤 管状腺瘤,1.0
回肠造口术状态,回肠造口状态,1.0
右侧鼻腔恶性黑色素瘤,鼻腔恶性肿瘤 黑色素瘤,1.0
左乳浸润性导管癌pT2N2M0III期,乳腺恶性肿瘤 浸润性导管癌 淋巴结继发恶性肿瘤,1.0
脾肿大,脾大,1.0
骶部脊椎裂,骶段脊柱裂,1.0
慢性移植物抗宿主反应病皮肤口腔肝脏眼,慢性移植物抗宿主病,1.0
下咽占位,口腔和咽喉部占位,1.0
反应性精神症病脑精分情感障碍,反应性精神病 精神分裂症 双相情感障碍,1.0
哮喘植物神经功能紊乱,支气管哮喘 植物神经功能紊乱,1.0
宫壁组织显变性并见少量胎盘组织粘连,胎盘粘连不伴出血,1.0
结核性胸膜炎右侧陈旧性,陈旧性胸膜结核,1.0
Barrett食管非萎缩性伴糜烂,巴氏食管 食管糜烂,1.0
宫颈鳞癌Ⅲb期化疗后放疗中,子宫颈恶性肿瘤 鳞状细胞癌 化学治疗 恶性肿瘤放疗,1.0
右侧乳腺纤维瘤切除术后,乳腺术后 乳腺纤维瘤,1.0
双下肢肌肉炎症,肌炎,1.0
类风湿性关节炎疼痛,类风湿性关节炎 关节痛,1.0
右胫骨外上髁及股骨外侧髁撕脱性骨折,胫骨外髁骨折 股骨外髁骨折,1.0
上腹胀痛待查左肺上叶磨玻璃结节结肠多发息肉肠镜检查胃镜检查预防出血结肠镜下息肉电切预防出血甲状腺癌胃溃疡,上腹痛 腹胀 肺占位性病变 结肠息肉 甲状腺恶性肿瘤 胃溃疡 癌,1.0
膀胱充盈欠佳前列腺略增大,前列腺增生,1.0
肝肾功能不良,肝功能异常 肾功能异常,1.0
右手皮脂腺囊肿,皮脂腺囊肿,1.0
T6T12椎体陈旧性压缩改变,胸椎压缩性骨折 陈旧性胸椎骨折,1.0
右乳乳腺癌,乳腺恶性肿瘤 癌,1.0
左足副舟骨源性平足症,先天性足副舟骨 扁平足,1.0
1左先天性睑下垂2右下肢肌萎缩待查,先天性上睑下垂 下肢肌肉萎缩,1.0
急性胰腺炎性脊髓病可能性大,脊髓病 急性胰腺炎,1.0
卵巢癌术后复发腹腔转移,卵巢术后 卵巢恶性肿瘤 腹腔继发恶性肿瘤 癌 转移性癌 恶性肿瘤复发,1.0
左乳内上象限浸润性导管癌II级术后化疗后,乳腺恶性肿瘤 浸润性导管癌 恶性肿瘤术后化疗,1.0
胰管分裂症,胰腺分裂症,1.0
右上肢猫抓伤,猫抓病,1.0
肺肾阴虚冠心病,冠状动脉粥样硬化性心脏病,1.0
双胎之一羊水增多胎儿肠管扩张,双胎妊娠 妊娠合并羊水过多,1.0
左下肢体无力查因,肢体无力,1.0
右半结肠隆起型中分化癌侵及粘膜下层,结肠恶性肿瘤 癌,1.0
精神运动发育迟缓代谢病,发育迟滞,1.0
四肢皮肤下垂时白斑,白斑病不可归类在他处者,1.0
硬膜外血肿伴不全瘫胸35椎体水平,不完全性瘫痪 硬膜外血肿,1.0
内耳耳石症,良性阵发性位置性眩晕,1.0
继发性间质肺疾病,间质性肺病 放射性损害,1.0
特指手术后状态甲状腺癌术后子宫肌瘤剜除术后宫外孕术后,其他特指的手术后状态 甲状腺恶性肿瘤 甲状腺术后 癌 子宫平滑肌瘤 子宫术后 异位妊娠,1.0
发热肺部感染头晕脑出血后遗症,发热 肺部感染 头晕 脑出血后遗症,1.0
右侧冈上肩胛下肌腱退变部分撕裂,肩胛下肌肌腱损伤,1.0
腰椎神经根压迫症,椎间盘疾患引起的神经根和神经丛压迫MS0M51,1.0
肾上腺发育不全,肾上腺发育不良,1.0
过敏性鼻炎伴鼻息肉,过敏性鼻炎变应性鼻炎 鼻息肉,1.0
主动脉瓣二尖瓣慢性病变,未特指的二尖瓣疾病 未特指的主动脉瓣疾患,1.0
G2P1孕36周已产LOA,正常分娩,1.0
心律失常心房纤颤频发室性早搏,心律失常 心房颤动心房纤颤 频发性室性期前收缩,1.0
左手麻木伴右腿无力待查,肌无力,1.0
肝脏肝细胞弥漫性脂肪变性及水样变性,脂肪肝,1.0
左肱骨骨质缺损,骨质破坏,1.0
左跗跖关节劳损,足的其他和未特指部位的扭伤和劳损,1.0
胰腺肿瘤囊腺瘤,囊腺瘤 胰腺良性肿瘤,1.0
宫颈CINI停经原因,子宫颈上皮瘤样病变CINI级 停经,1.0
陈旧性会阴3度撕裂阴道前后壁膨出2度,陈旧性会阴裂伤 阴道前后壁脱垂,1.0
复诊T1112髓内囊肿保守治疗中,脊髓内囊肿,1.0
右上肺癌伴全身多发转移IV期骨脑,右肺上叶恶性肿瘤 多部位继发恶性肿瘤 脑继发恶性肿瘤 骨继发恶性肿瘤 癌 转移性癌,1.0
直肠癌新辅助化疗后,直肠恶性肿瘤 化学治疗 癌,1.0
嗅觉缺乏,嗅觉丧失,1.0
左手中指指背皮肤挫裂及缺损,手指挫伤 皮肤缺损,1.0
左膝腓肠肌拉伤,小腿后部肌群和肌腱损伤,1.0
慢性阻塞性肺气肿疾病急性加重期,阻塞性肺气肿 慢性阻塞性肺疾病急性加重,1.0
附件转移Ⅳ期根治术后Dixon术,子宫附件继发恶性肿瘤,1.0
盆腔淋巴结继发癌,盆腔淋巴结继发恶性肿瘤 继发性癌,1.0
大疱表皮样癣性药疹,莱尔综合征lyell综合征,1.0
慢性淤血性脾肿大伴局部梗死,慢性充血性脾大 脾梗死,1.0
胆囊切除术后腹壁粘连,胆囊切除术后粘连 腹壁粘连,1.0
不慎摔倒致左髋部着地受伤,髋部损伤 摔伤,1.0
右额叶胶质母细胞瘤,额叶恶性肿瘤 胶质母细胞瘤,1.0
弥漫球性增生性狼疮性肾IVG,狼疮性肾炎,1.0
小样儿足月,足月小样儿,1.0
右下肢麻木原因腰椎病,腰椎病,1.0
左腿软组织裂伤,下肢未特指的损伤水平未特指,1.0
右股骨骨折右胫骨骨折右下肢皮肤软组织挫裂伤右肱骨髁上骨折,股骨骨折 胫骨骨折 下肢未特指的损伤水平未特指 肱骨骨折 肱骨髁上骨折,1.0
颈椎病 胸背肌筋膜炎,颈椎病 筋膜炎,1.0
美尼尔氏综合症膜迷路积水,膜迷路积水 梅尼埃病,1.0
血管结构畸,血管畸形,1.0
生育问题畸形精子,畸形精子症,1.0
钢缆打伤左膝关节,膝关节损伤,1.0
头颈部软组织劳损,累及头部伴有颈部的脱位扭伤和劳损,1.0
非霍奇金淋巴瘤FL白细胞减少,非霍奇金淋巴瘤 滤泡淋巴瘤 白细胞减少,1.0
颈胸背部广泛皮下气肿并纵膈积气,纵隔气肿,1.0
胸腺低分化鳞癌cT2N2M1IV期化疗,胸腺恶性肿瘤 鳞状细胞癌 化学治疗,1.0
脑血管硬化症,脑血管硬化,1.0
前降支中度狭窄伴心肌桥形成,冠状动脉肌桥 冠状动脉狭窄,1.0
子宫颈小细胞癌,子宫颈恶性肿瘤 小细胞癌,1.0
腰腿痛心律失常感冒,腰痛 下肢疼痛 心律失常 感冒,1.0
缺铁缺锌铅较高腹部淋巴肿大,铁缺乏 锌缺乏 铅中毒 淋巴结肿大,1.0
骨关节病平足症,骨关节病 扁平足,1.0
过敏性鼻咽炎,咽炎 过敏反应,1.0
结肠脾曲高代谢恶性待排,结肠恶性肿瘤,1.0
基底动脉脑梗死心源性,脑梗死,1.0
右肺肺纤维化纤维灶,肺诊断性影像异常 肺纤维化,1.0
早孕 牙痛,妊娠状态 牙痛,1.0
右腕月骨少量碎骨组织部分似坏死改变,骨坏死,1.0
左胸左下肢刀伤颈部胸部双上肢枪伤,胸部开放性损伤 下肢开放性损伤 颈部开放性损伤 胸部开放性损伤 上肢开放性损伤 枪击伤,1.0
右上肺结节炎症MT,肺占位性病变 肺炎 肺恶性肿瘤,1.0
左面部麻木味觉减退功能性可能性大,味觉障碍,1.0
膀胱新生物,膀胱息肉,1.0
胸1112椎间隙异常信号影,其他特指身体结构诊断性影像检查的异常所见,1.0
骨髓增殖性肿瘤血小板增多症,慢性骨髓增殖性肿瘤 血小板增多,1.0
子宫内膜样腺癌伴鳞状上皮分化,子宫内膜样腺癌 子宫内膜恶性肿瘤,1.0
颈管炎宫内膜炎,子宫内膜炎 子宫颈炎,1.0
臀先露难产,臀先露引起的梗阻性分娩,1.0
肝门胆管癌pT2N1,肝门胆管恶性肿瘤 胆管癌,1.0
胎儿异常永存左上腔泌尿系统异常,永存左上腔静脉,1.0
颈部淋巴瘤化疗,颈部恶性肿瘤 淋巴瘤 淋巴瘤 化学治疗,1.0
左侧胸前积液性质待查考虑恶性,恶性胸腔积液,1.0
重度骨质疏松症冠心病高血压结缔组织病,重度骨质疏松 冠状动脉粥样硬化性心脏病 高血压 结缔组织病,1.0
子宫内膜息肉手术史,子宫内膜息肉 子宫术后,1.0
食管中段癌放化疗后,食管中三分之一的恶性肿瘤 癌 恶性肿瘤放疗,1.0
双侧上颌牙列部分缺失骨量不足,牙列缺失,1.0
WHO肺高压心功能III级,肺动脉高压 心功能III级NYHA分级,1.0
左足第2趾远节趾骨骨折左足第2趾软组织缺损,足部损伤 趾骨骨折,1.0
颈部软组织劳损,肩颈部劳损,1.0
胎盘异常回声1胎膜下血肿3胎盘早剥3其他,胎盘早期剥离伴出血,1.0
肾功能检查的异常结果,肾功能不全,1.0
左颈总动脉发育异常,颈内动脉畸形,1.0
双子宫颈,双子宫颈,1.0
右大腿高分化骨肉瘤,骨肉瘤 股骨恶性肿瘤,1.0
左肺高代谢病灶查因,肺诊断性影像异常,1.0
卵巢交界瘤术后复查,卵巢交界性肿瘤 卵巢术后,1.0
右乳中分化浸润性导管癌,乳腺恶性肿瘤 浸润性导管癌,1.0
左腘窝囊性肿块,下肢囊肿,1.0
脾脏高度充血致脾肿大,脾大,1.0
左室心肌细胞呈弥漫性肥大改变部分变性,心肌肥大 心肌变性,1.0
慢性肾脏疾病合并矿物质骨代谢异常,矿物质代谢紊乱 肾小球内皮细胞病,1.0
盆腔无性细胞瘤,无性细胞瘤 盆腔恶性肿瘤,1.0
腹痛 肠癌术后,腹痛 胃肠道恶性肿瘤 癌,1.0
右卵巢癌,卵巢恶性肿瘤 癌,1.0
右乳肿物癌,乳房肿物 乳腺恶性肿瘤 癌,1.0
右手小指伸肌腱扩张部部分撕裂,手部韧带断裂,1.0
双肺病灶性质待查炎性可能性大恶性不除外,肺炎 双肺恶性肿瘤,1.0
右肺上叶小细胞癌伽玛刀治疗后化疗后,右肺上叶恶性肿瘤 小细胞癌 化学治疗 恶性肿瘤放疗,1.0
左前臂广泛肌肉缺血坏死,上肢供血不足,1.0
右上肺肿物肺癌,右肺上叶恶性肿瘤 癌 肺肿物,1.0
副乳腺囊性增生,副乳腺囊性增生,1.0
停经315周B超提示胎儿胃及部分肠管扩张,妊娠状态,1.0
右卵巢高级别浆液性癌IIA期,卵巢恶性肿瘤 浆液性癌,1.0
上腹不适伴隐痛,上腹痛,1.0
主动脉弓粥样斑块形成并管腔轻度狭窄,主动脉弓狭窄,1.0
双侧胸腔积液伴肺炎,胸腔积液 肺炎,1.0
大便异常其他的痔疮,痔 其他大便异常,1.0
颅底凹陷继发性颈髓病变,脊髓病,1.0
降结肠腺瘤,降结肠良性肿瘤 腺瘤,1.0
非霍奇金淋巴瘤Ⅲ期A弥漫大B细胞淋巴瘤检查,弥漫大B细胞淋巴瘤,1.0
左桡骨下端骨不连,桡骨骨折不连接,1.0
乳腺癌化疗左乳癌术前化疗,乳腺恶性肿瘤 癌 恶性肿瘤术前化疗,1.0
右拇指开放性脱位,拇指关节脱位 拇指开放性损伤,1.0
肾造瘘术后左,肾造口状态,1.0
左手第1掌骨部分骨质缺损并腕掌关节半脱位,腕掌关节脱位,1.0
右肺小细胞癌化疗,右肺恶性肿瘤 小细胞癌 化学治疗,1.0
右侧额部脑膜瘤,脑膜瘤,1.0
直肠肛管内盲瘘,盲管瘘,1.0
右乳癌术前新辅助化疗,乳腺恶性肿瘤 化学治疗 癌,1.0
右上中肺腺癌cT3N3M1bⅣ期EGFR基因检测野生型,右肺恶性肿瘤 腺癌,1.0
热液烫伤双股会阴部TBSA5Ⅱ度,沸水烫伤 会阴烫伤 下肢烫伤,1.0
臀部疖肿金黄色葡萄球菌,臀部疖 金黄色葡萄球菌感染,1.0
颅底骨放射性坏死,放射性损害 骨坏死,1.0
软组织肉瘤肠系膜脂肪肉瘤,脂肪肉瘤 软组织肉瘤 肠系膜恶性肿瘤,1.0
GU治疗后复查CG伴糜烂,慢性胃炎 糜烂性胃炎,1.0
右侧恶性胸水原发病灶待查,恶性胸腔积液,1.0
甲状腺滤泡性腺瘤伴囊性变,甲状腺良性肿瘤 滤泡性腺瘤,1.0
左中环小指掌侧皮肤挛缩伴功能障碍,瘢痕挛缩,1.0
巧克力囊肿切除守候治疗后,卵巢巧克力样囊肿 卵巢术后,1.0
滋养细胞肿瘤IV12第二次诱导化疗后,滋养细胞病 化学治疗,1.0
侵及子宫后壁及双侧肛提肌,子宫继发恶性肿瘤,1.0
前降支肌桥重度,冠状动脉肌桥,1.0
身体体表4049烧伤,体表4049的烧伤,1.0
肾上腺增生引起的原发性醛固酮过多症,肾上腺增生 原发性醛固酮增多症低肾素性醛固酮增多症,1.0
右上肺中央型腺鳞癌pT2N2M0IIIa期术后伴右肺右胸壁肋骨多发转,肺术后 右肺上叶恶性肿瘤 鳞状细胞癌 肺继发恶性肿瘤 胸壁继发恶性肿瘤 肋骨继发恶性肿瘤 转移性癌,1.0
胼胝体膝部发育不良,胼胝体发育不全,1.0
先天喉软骨发育不良,先天性喉发育不全,1.0
患者肿瘤晚期恶液质变予静脉营养支持,恶病质 恶性肿瘤,1.0
细菌口腔炎,口炎 细菌感染,1.0
肾上腺皮质发育不全,肾上腺发育不良,1.0
右肺斑片影陈旧性病变可能性大,肺病 肺部阴影,1.0
溃疡性中分化腺癌,腺癌,1.0
右臀部不典型纤维组织瘤,臀部纤维瘤病,1.0
皮肤炎性周围神经病,多发性神经病多发性神经炎周围神经炎,1.0
乳癌晚期,乳腺恶性肿瘤 癌,1.0
双耳极重度感音性聋,双侧感音神经性聋,1.0
胰腺导管内粘液样瘤,粘液瘤 胰腺良性肿瘤,1.0
脑内多发缺血性脱髓鞘灶幕上脑室增大,脱髓鞘病 脑室扩张,1.0
肾病慢性胃窦炎,肾病,1.0
额部创伤后不愈,头部损伤 开放性损伤愈合不良,1.0
左第68肋腋部及第11肋骨折,四根以上肋骨骨折不伴第一肋骨骨折,1.0
妊1产0妊372周臀头位,妊娠状态,1.0
双卵巢中低分化子宫内膜样腺癌,卵巢恶性肿瘤 子宫内膜样腺癌,1.0
A7垂直阻生D2舌侧错位D3扭转,阻生牙 牙齿扭转 牙齿错位,1.0
宫颈癌术后下腹痛,宫颈术后 子宫颈恶性肿瘤 癌 下腹痛,1.0
左肾轻中度受损,肾损伤,1.0
CABG术后胸腔积水,冠状动脉搭桥术后 胸腔积液,1.0
右侧腋下皮脂腺囊肿,皮脂腺囊肿,1.0
高血压病病,高血压,1.0
甲状腺乳头状癌术后伴双肺转移TxN1bM1Ⅳc期高危,甲状腺恶性肿瘤 甲状腺术后 甲状腺乳头状癌 肺继发恶性肿瘤 转移性乳头状癌,1.0
食管癌术后pT3N1放化疗白细胞低下恶心呕吐血小板低放射性食管炎疼痛,食管术后 食管恶性肿瘤 恶性肿瘤术后放疗 恶性肿瘤术后化疗 白细胞减少 恶心和呕吐 血小板减少 放射性食管炎 疼痛 癌,1.0
左膝外侧滑瞙皱襞综合症,膝关节滑膜皱襞综合征,1.0
直肠中高分化腺癌,直肠恶性肿瘤 腺癌,1.0
口腔癌,口腔恶性肿瘤 癌,1.0
颈椎癌,颈椎恶性肿瘤 癌,1.0
左下肢疼痛伴力弱,下肢疼痛,1.0
左肺曲霉球病,肺曲霉菌病,1.0
视网膜动脉闭塞OD,其他视网膜动脉阻塞,1.0
造瘘口旁皮肤红肿,人工造口状态,1.0
阴道鳞状细胞癌,阴道恶性肿瘤 鳞状细胞癌,1.0
