Text,Normalized Result
右 / 背部 / 转移,躯干 / 继发 / 恶性肿瘤 / ## / 转移性 / 肿瘤
右侧 / 骶 / 髂 / 关节 / 椎体 / 退行性 / 变,骨关节 / 病 / ## / 脊椎 / 退行性 / 病变
右侧 / 乳腺癌 / 放疗 / 后,乳腺 / 恶性肿瘤 / ## / 恶性肿瘤 / 放疗 / ## / 癌
左侧 / 软腭 / 裂伤,软腭 / 开放性 / 损伤
腋窝 / 疖肿,腋 / 脓肿 / ## / 皮肤 / 疖肿
周围 / 神经病 / 多发性,多发性 / 神经病 / 多发性 / 神经炎 / 周围 / 神经炎
宫颈 / 上皮 / 内低 / 级别 / 病变 / CINI / 级,子宫颈 / 上皮 / 瘤样 / 病变 / CINI / 级
胎儿 / 染色体 / 发育 / 异常,先天性 / 胎儿 / 染色体 / 异常
右小腿 / 皮肤 / 擦 / 挫伤,小腿 / 挫伤 / ## / 小腿 / 擦伤
喉 / 部分 / 切除术 / 气管 / 切开术,喉 / 术后
右 / 乳腺癌 / 中医 / 治疗,乳腺 / 恶性肿瘤 / ## / 恶性肿瘤 / 中医 / 治疗 / ## / 癌
慢性 / 浅表 / 萎缩性 / 胃炎 / 伴 / 咖啡 / 斑,慢性 / 萎缩性 / 胃炎
盆腔 / 三维 / 适形 / 放疗 / 后 / 复发 / 陀螺 / 刀 / 治疗 / 后,放射治疗
西医 / 1 / 神经症 / 2 / 脑后 / 循环 / 缺血,后 / 循环 / 缺血 / ## / 未 / 特指 / 的 / 神经症 / 性障碍
CA125 / 升高 / 癌 / 抗原 / 125 / 升高,CA125 / 升高
头痛 / ## / 急性 / 胃黏膜 / 病变,头痛
药物性 / 损害,药物 / 不良反应
子宫 / 原位癌,子宫 / 恶性肿瘤 / ## / 原位癌
右屈 / 肘 / 总 / 肌腱 / 止点 / 撕脱 / 性骨折,肘关节 / 骨折
直肠 / 中 / 分化 / 管状 / 腺癌 / 维持性 / 化学治疗,直肠 / 恶性肿瘤 / ## / 管状 / 腺癌 / ## / 恶性肿瘤 / 维持性 / 化学治疗
慢性 / 浅表性 / 胃炎 / 轻度 / 萎缩,慢性 / 浅表性 / 胃炎 / ## / 慢性 / 萎缩性 / 胃炎
肠 / 激惹 / 综合症 / 过敏性 / 肠 / 综合症,肠 / 易激 / 综合征
颅骨 / 巨细胞 / 瘤,骨 / 巨细胞 / 瘤 / ## / 颅骨 / 良性肿瘤
自体 / 造血 / 干细胞 / 移植 / 后 / 纵隔 / 右肺 / 门 / 复发,自体 / 造血 / 干细胞 / 移植 / 状态
盆腔 / 继发 / 癌,盆腔 / 继发 / 恶性肿瘤 / ## / 转移性 / 癌
肝 / MT5 / 次 / 介入 / 术后 / 1 / 月余,肝 / 恶性肿瘤 / ## / 肝 / 术后
炎症性 / 关节炎,关节炎
甲状旁腺 / 功能 / 减退症,甲状旁腺 / 功能 / 减退
CINII / 级 / 累及 / 腺体 / 可见 / 挖空 / 细胞,宫颈 / 上皮 / 瘤样 / 病变 / CINII / 级
左 / 胫 / 腓骨 / 骨折 / 术后,小腿 / 骨折 / ## / 骨折 / 术后
蝶鞍 / 区 / 脑膜 / 良性肿瘤,脑膜 / 良性肿瘤
儿保小头围 / 精神 / 运动 / 发育 / 落后,发育 / 迟滞
脾虚 / 大便 / 不 / 调 / 痹症 / 高 / 尿血 / 酸 / 血症,大便 / 习惯 / 改变 / ## / 高尿酸 / 血症
左尺 / 神经 / 挫伤,身体 / 未 / 特指 / 部位 / 的 / 神经 / 损伤
双眼 / 高 / 眼压 / 左眼 / 散粒肿,高 / 眼压 / 症 / ## / 睑 / 板腺 / 囊肿 / 霰粒肿
甲状腺肿 / 物 / 切除,甲状腺肿 / 物 / ## / 甲状腺 / 术后
双足 / 跟 / 骨 / 骨折,跟 / 骨 / 骨折
耻骨 / 上经 / 膀胱 / 前列腺 / 切除术,前列腺 / 术后
重叠 / 性 / 结缔组织 / 病,重叠 / 综合征
舌 / 疾患 / 沟纹 / 舌,舌未 / 特指 / 的 / 疾病 / ## / 沟纹 / 舌
弥漫 / 大 / B / 细胞 / 淋巴瘤 / 消化系统 / 念珠菌 / 感染 / 病毒感染 / 免疫力 / 下降 / 口腔 / 黏膜炎 / 溃疡 / 真菌 / 感染 / 白细胞 / 减低 / 放射性 / 皮炎,弥漫 / 大 / B / 细胞 / 淋巴瘤 / ## / O / ## / 感染 / ## / 病毒感染 / ## / O / ## / 真菌 / 感染 / ## / 白细胞 / 减少 / ## / 放射性 / 皮炎
膀胱 / 非 / 浸润性 / 乳头状 / 尿路 / 上皮 / 癌,膀胱 / 恶性肿瘤 / ## / 非 / 侵袭 / 性 / 乳头状 / 尿路 / 上皮 / 癌
扁桃体 / 癌,扁桃体 / 恶性肿瘤 / ## / 癌
淋巴结 / 内 / 淋巴 / 上皮 / 样癌,未 / 特指 / 的 / 淋巴结 / 恶性肿瘤 / ## / 癌
腰 / 背部 / 囊肿,腰部 / 囊肿 / ## / 背部 / 囊肿
中度 / 慢性 / 浅表性 / 胃炎 / 伴局 / 灶 / 腺体 / 肠上 / 皮化生,慢性 / 浅表性 / 胃炎 / ## / 肠上 / 皮化生
偏执狂,妄想 / 性障碍
发热 / 贫血,发热 / ## / 贫血
送检 / 右侧 / 髋臼 / 为 / 死 / 骨 / 纤维组织 / 伴 / 坏死 / 渗,骨坏死
肩手 / 综合症,肩手 / 综合征
胰腺 / 分裂症 / 转归 / 好转,胰腺 / 分裂症
髓 / 核 / 组织 / 伴 / 部分 / 坏死 / 及 / 钙 / 盐 / 沉积,钙质 / 沉着 / 症
腰 / 45 / 椎间盘 / 突出 / 症,腰椎间盘 / 突出
L5 / 椎体 / 左侧 / 弓峡裂 / S1 / 隐裂,先天性 / 腰 / 骶椎 / 隐裂
嗜酸 / 细胞 / 性 / 结肠炎,嗜酸 / 细胞 / 性 / 胃肠炎
发作 / 性 / 双下肢 / 无力 / 待查 / 胸髓 / 病变 / 待 / 除外,肢体 / 无力 / ## / 脊髓 / 病
内耳 / 特指 / 疾病 / 左侧 / 内耳 / 迷路 / 积水,膜 / 迷路 / 积水 / ## / 内耳 / 未 / 特指 / 的 / 疾病
脑 / 静脉 / 窦 / 发育不全,先天性 / 动静脉 / 畸形
胃窦 / 病变 / 伴 / 上消化道 / 大出血,胃 / 和 / 十二指肠 / 未 / 特指 / 的 / 疾病 / ## / 上消化道 / 出血
左手 / 抖动 / 原因 / 待查 / 帕金森氏 / 病,帕金森病 / ## / 不 / 自主运动
高 / 铅 / 血症 / 铁低,铅中毒 / ## / 铁 / 缺乏
乳腺癌 / 手术,乳腺 / 恶性肿瘤 / ## / 乳腺 / 术后 / ## / 癌
左尺 / 桡骨 / 远干 / 骺 / 端 / 骺 / 离 / 骨折,桡骨 / 远端 / 骨 / 骺 / 分离 / ## / 尺骨 / 远端 / 骨 / 骺 / 分离
高血压 / 慢性 / 肾病,高血压 / 性 / 肾病
横结肠 / 结肠 / 管状腺瘤 / 低 / 级别,管状腺瘤 / ## / 横结肠 / 良性肿瘤
右上 / 肺 / 周围 / 型 / 低 / 分化腺癌 / Ⅳ / 期,右肺 / 上 / 叶 / 恶性肿瘤 / ## / 腺癌
胸腹 / 腰 / 臀部 / 多处 / 刀伤,多处 / 损伤
直肠 / 中 / 低 / 分化 / 管状 / 腺癌,直肠 / 恶性肿瘤 / ## / 管状 / 腺癌
2 / 型 / 退变 / 并 / 周围神经 / 病变,多发性 / 神经病 / 多发性 / 神经炎 / 周围 / 神经炎
右下 / 肺 / 腺癌 / 多发 / 脑 / 转移 / EGFR19 / 号 / 外显子 / 缺失,右肺 / 下叶 / 恶性肿瘤 / ## / 脑 / 继发 / 恶性肿瘤 / ## / 腺癌 / ## / 转移性 / 腺癌
冠心病 / 陈旧 / 心梗,陈旧性 / 心肌梗死 / ## / 冠状动脉 / 粥样 / 硬化性 / 心脏病
ECG / 窦性心 / 律 / ## / 非 / 特异性 / T / 波 / 异常,心电图 / 异常
鼻咽 / 低 / 分化 / 鳞状 / 细胞 / 癌,鼻咽 / 恶性肿瘤 / ## / 鳞状 / 细胞 / 癌
前降 / 支 / 中段 / 心肌 / 桥 / 第一 / 对角 / 支 / 中度 / 狭窄,冠状动脉 / 肌桥 / ## / 冠状动脉 / 狭窄
双眼 / 慢性 / 开角型 / 青光眼,开角型 / 青光眼
脑血管病 / 骨关节 / 病 / 肺癌 / 术后,脑血管病 / ## / 骨关节 / 病 / ## / 肺 / 术后 / ## / 肺 / 恶性肿瘤 / ## / 癌
右 / 肺癌 / 术后 / 疼痛 / 免疫 / 功能 / 咳血 / 抗过敏 / 维生素 / 不足 / 叶酸 / 不足 / 行动不便 / 便秘 / 重度 / 疼痛 / 抗过敏 / 化疗 / 口腔溃疡 / 高血压 / 化疗 / 呕吐 / 食欲 / 减退,肺 / 术后 / ## / 右肺 / 恶性肿瘤 / ## / 咯血 / ## / 维生素 / 缺乏 / ## / 叶酸 / 缺乏 / ## / 便秘 / ## / 疼痛 / ## / 口腔 / 黏膜 / 溃疡 / ## / 高血压 / ## / 化疗 / 药物 / 反应 / ## / 呕吐 / ## / 食欲不振 / ## / 癌
外周 / 神经 / 损害,多发性 / 神经病 / 多发性 / 神经炎 / 周围 / 神经炎
早孕 / 哺乳期 / 核对 / 孕周 / 疤痕 / 子宫 / 两次,瘢痕 / 子宫 / ## / 妊娠 / 状态
非 / 甲状腺 / 性变态 / 综合症,甲状腺 / 功能 / 正常 / 的 / 病态 / 综合征
双足 / 膝 / 内 / 翻,足 / 畸形 / ## / 膝内 / 翻
皮内型 / 色素痣,皮内 / 痣
双膝 / 髌骨 / 局灶性 / 骨 / 梗死 / 骨 / 代谢 / 异常,骨坏死
右小腿 / 截肢 / 肢麻 / 气滞 / 血瘀 / 经络 / 不 / 畅,截肢
颅内 / 支架 / 植入术 / 后,血管 / 支架 / 植入术 / 后 / 状态
右侧 / 乳房 / 肿块 / 分 / 叶状 / 肿瘤,叶状 / 瘤
代谢性 / 酸中毒 / 合并 / 高钾血症,代谢性 / 酸中毒 / ## / 高钾血症
周期性 / 低钾 / 麻 / 庳 / GD,低 / 钾型 / 周期性 / 瘫痪 / 低血 / 钾性 / 周期性 / 麻痹 / 家族 / 性 / 周期性 / 瘫痪
宫颈 / 鳞癌 / IIb / 放化疗 / 化疗 / 止吐 / 保心 / 保肝 / 脱水 / 利尿 / 消化不良 / 食欲 / 减退 / 咳嗽 / 咳痰,子宫颈 / 恶性肿瘤 / ## / 鳞状 / 细胞 / 癌 / ## / 放射治疗 / ## / 化学治疗 / ## / 消化不良 / ## / 食欲不振 / ## / 咳嗽
盲肠 / 粪石 / 嵌顿 / 穿孔,粪便 / 嵌塞 / ## / 肠穿孔
右 / 下腹 / 肌肉 / 慢性 / 炎,肌炎
L45 / 椎间盘 / 膨出 / 中医 / 诊断 / 痹 / 病风 / 寒湿 / 痹证,腰椎间盘 / 移位
翼状 / 胬肉 / 术后,翼状 / 胬肉 / ## / 眼 / 术后
绝经 / 后 / 子宫,绝经期
右侧 / 软腭 / 划伤,口腔 / 和 / 咽喉部 / 损伤
外伤 / ## / 膝关节 / 损伤 / 关节病 / ## / 失眠,膝关节 / 损伤 / ## / 关节病 / ## / 失眠
1 / 新生儿 / 胎 / 粪 / 综合征,新生儿 / 胎 / 粪 / 吸入 / 综合征
左 / 乳腺癌 / 术 / 前 / 化疗,乳腺 / 恶性肿瘤 / ## / 癌 / ## / 恶性肿瘤 / 术 / 前 / 化疗
全麻 / 喉 / 部分 / 切除术 / 全喉 / 准备,喉 / 术后
停经 / 24 / 周 / B超 / 提示 / 胎儿 / 左侧 / 胸腔 / 内 / 混合 / 回声,孕 / 24 / 周
右肘 / 跌伤 / 待查,上肢 / 损伤 / ## / 摔伤
左眼 / 黄斑 / 劈裂 / 伴 / 视网膜 / 浅 / 脱离,视网膜 / 劈裂 / 症 / ## / 视网膜 / 脱离
左 / 膝关节 / 肿块,膝关节 / 肿物
排便 / 困难 / 原因 / 待查 / 结 / 直肠 / 病变 / 不能 / 排除,排便 / 困难 / ## / 肛门 / 和 / 直肠 / 未 / 特指 / 的 / 疾病
右 / 颈部 / 纤维 / 脂肪 / 病,颈部 / 良性肿瘤 / ## / 纤维 / 脂肪瘤
老年性 / 脑 / 改变 / 粥样 / 硬化,脑 / 动脉 / 粥样 / 硬化 / ## / 老年性 / 脑 / 变性
鼻后 / 滴漏 / 综合征,鼻窦 / 滴漏 / 综合征
右侧 / 舌 / 鳞癌,舌 / 恶性肿瘤 / ## / 鳞状 / 细胞 / 癌
横 / 结肠癌 / 肠道 / 出血 / 缺铁性 / 贫血 / 叶酸 / 缺乏 / 乙型肝炎,横结肠 / 恶性肿瘤 / ## / 肠 / 出血 / ## / 缺铁性 / 贫血 / ## / 叶酸 / 缺乏 / ## / O / ## / 癌
脑梗塞 / 高血压 / 眩晕 / 阴虚 / 肝风,脑梗死 / ## / 高血压 / ## / 眩晕
左乳 / 浸润性 / 癌 / 改良 / 根治术 / 后 / pT1cN0M0IA / 期,乳腺 / 恶性肿瘤 / ## / 乳腺 / 术后 / ## / 浸润性 / 导管 / 癌
右侧 / 颊 / 粘膜 / 病变,口腔粘膜 / 其他 / 和 / 未 / 特指 / 的 / 损害
心 / 脑缺血,脑血管 / 供血 / 不足 / ## / 心肌 / 供血 / 不足
左頰 / 粘膜 / 磷 / Ca,鳞状 / 细胞 / 癌 / ## / 颊 / 粘膜 / 恶性肿瘤
右 / 股骨 / 骨折 / 术后,股骨 / 骨折 / ## / 骨折 / 术后
猝死 / 型 / 冠心病,心源性 / 猝死 / ## / 冠状动脉 / 粥样 / 硬化性 / 心脏病
粟粒 / 大 / 结肠 / 黏膜 / 组织 / 1 / 块 / 呈 / 低 / 级别 / 管状腺瘤,结肠 / 良性肿瘤 / ## / 管状腺瘤
回肠 / 造口术 / 状态,回肠 / 造口 / 状态
右侧 / 鼻腔 / 恶性 / 黑色素瘤,鼻腔 / 恶性肿瘤 / ## / 黑色素瘤
左乳 / 浸润性 / 导管 / 癌 / pT2N2M0III / 期,乳腺 / 恶性肿瘤 / ## / 浸润性 / 导管 / 癌 / ## / 淋巴结 / 继发 / 恶性肿瘤
脾肿大,脾大
骶部 / 脊椎 / 裂,骶 / 段 / 脊柱 / 裂
慢性 / 移植物 / 抗 / 宿主 / 反应 / 病 / 皮肤 / 口腔 / 肝脏 / 眼,慢性 / 移植物 / 抗 / 宿主 / 病
下咽 / 占位,口腔 / 和 / 咽喉部 / 占位
反应 / 性 / 精神 / 症病脑 / 精分 / 情感 / 障碍,反应 / 性 / 精神病 / ## / 精神分裂症 / ## / 双相 / 情感 / 障碍
哮喘 / 植物神经 / 功能 / 紊乱,支气管 / 哮喘 / ## / 植物神经 / 功能 / 紊乱
宫壁 / 组织 / 显 / 变性 / 并 / 见 / 少量 / 胎盘 / 组织 / 粘连,胎盘 / 粘连 / 不伴 / 出血
结核性 / 胸膜炎 / 右侧 / 陈旧性,陈旧性 / 胸膜 / 结核
Barrett / 食管 / 非 / 萎缩性 / 伴 / 糜烂,巴氏 / 食管 / ## / 食管 / 糜烂
宫颈 / 鳞癌 / Ⅲ / b / 期 / 化疗 / 后 / 放疗 / 中,子宫颈 / 恶性肿瘤 / ## / 鳞状 / 细胞 / 癌 / ## / 化学治疗 / ## / 恶性肿瘤 / 放疗
右侧 / 乳腺 / 纤维瘤 / 切除术 / 后,乳腺 / 术后 / ## / 乳腺 / 纤维瘤
双下肢 / 肌肉 / 炎症,肌炎
类 / 风湿性关节炎 / 疼痛,类 / 风湿性关节炎 / ## / 关节痛
右 / 胫骨 / 外上 / 髁 / 及 / 股骨 / 外侧 / 髁 / 撕脱 / 性骨折,胫骨 / 外 / 髁 / 骨折 / ## / 股骨 / 外 / 髁 / 骨折
上 / 腹胀痛 / 待查 / 左肺 / 上 / 叶磨 / 玻璃 / 结节 / 结肠 / 多发 / 息肉 / 肠 / 镜检查 / 胃镜 / 检查 / 预防 / 出血 / 结肠镜 / 下 / 息肉 / 电切 / 预防 / 出血 / 甲状腺癌 / 胃溃疡,上 / 腹痛 / ## / 腹胀 / ## / 肺 / 占位性 / 病变 / ## / 结肠 / 息肉 / ## / 甲状腺 / 恶性肿瘤 / ## / 胃溃疡 / ## / 癌
膀胱 / 充盈 / 欠佳 / 前列腺 / 略 / 增大,前列腺 / 增生
肝肾 / 功能 / 不良,肝功能 / 异常 / ## / 肾功能 / 异常
右手 / 皮脂腺 / 囊肿,皮脂腺 / 囊肿
T6T12 / 椎体 / 陈旧性 / 压缩 / 改变,胸椎 / 压缩性 / 骨折 / ## / 陈旧性 / 胸椎 / 骨折
右乳 / 乳腺癌,乳腺 / 恶性肿瘤 / ## / 癌
左足 / 副 / 舟骨 / 源性 / 平足 / 症,先天性 / 足 / 副 / 舟骨 / ## / 扁平足
1 / 左 / 先天性 / 睑下垂 / 2 / 右 / 下肢 / 肌萎缩 / 待查,先天性 / 上 / 睑下垂 / ## / 下肢 / 肌肉 / 萎缩
急性 / 胰腺炎 / 性 / 脊髓 / 病 / 可能性 / 大,脊髓 / 病 / ## / 急性 / 胰腺炎
卵巢癌 / 术后 / 复发 / 腹腔 / 转移,卵巢 / 术后 / ## / 卵巢 / 恶性肿瘤 / ## / 腹腔 / 继发 / 恶性肿瘤 / ## / 癌 / ## / 转移性 / 癌 / ## / 恶性肿瘤 / 复发
左乳内 / 上 / 象限 / 浸润性 / 导管 / 癌 / II / 级 / 术后 / 化疗 / 后,乳腺 / 恶性肿瘤 / ## / 浸润性 / 导管 / 癌 / ## / 恶性肿瘤 / 术后 / 化疗
胰管 / 分裂症,胰腺 / 分裂症
右 / 上肢 / 猫 / 抓伤,猫 / 抓病
肺 / 肾阴虚 / 冠心病,冠状动脉 / 粥样 / 硬化性 / 心脏病
双胎 / 之一 / 羊水 / 增多 / 胎儿 / 肠管 / 扩张,双胎 / 妊娠 / ## / 妊娠 / 合并 / 羊水 / 过多
左 / 下 / 肢体 / 无力 / 查因,肢体 / 无力
右半 / 结肠 / 隆起 / 型 / 中 / 分化 / 癌 / 侵及 / 粘膜 / 下层,结肠 / 恶性肿瘤 / ## / 癌
精神 / 运动 / 发育 / 迟缓 / 代谢 / 病,发育 / 迟滞
四肢 / 皮肤 / 下垂 / 时 / 白斑,白斑病 / 不可 / 归类 / 在 / 他 / 处者
硬膜外 / 血肿 / 伴不全 / 瘫 / 胸 / 35 / 椎体 / 水平,不完全性 / 瘫痪 / ## / 硬膜外 / 血肿
内耳 / 耳石 / 症,良性 / 阵发性 / 位置 / 性 / 眩晕
继发性 / 间质 / 肺 / 疾病,间质性 / 肺病 / ## / 放射性 / 损害
特指 / 手术 / 后 / 状态 / 甲状腺癌 / 术后 / 子宫 / 肌瘤 / 剜除 / 术后 / 宫外孕 / 术后,其他 / 特指 / 的 / 手术 / 后 / 状态 / ## / 甲状腺 / 恶性肿瘤 / ## / 甲状腺 / 术后 / ## / 癌 / ## / 子宫 / 平滑肌 / 瘤 / ## / 子宫 / 术后 / ## / 异位 / 妊娠
发热 / 肺部 / 感染 / 头晕 / 脑出血 / 后遗症,发热 / ## / 肺部 / 感染 / ## / 头晕 / ## / 脑出血 / 后遗症
右侧 / 冈上 / 肩胛 / 下 / 肌腱 / 退变 / 部分 / 撕裂,肩胛 / 下肌 / 肌腱 / 损伤
腰椎 / 神经 / 根 / 压迫 / 症,椎间盘 / 疾患 / 引起 / 的 / 神经 / 根 / 和 / 神经 / 丛 / 压迫 / MS0M51
肾上腺 / 发育不全,肾上腺 / 发育不良
过敏性 / 鼻炎 / 伴 / 鼻息肉,过敏性 / 鼻炎 / 变应性 / 鼻炎 / ## / 鼻息肉
主动脉瓣 / 二尖瓣 / 慢性病 / 变,未 / 特指 / 的 / 二尖瓣 / 疾病 / ## / 未 / 特指 / 的 / 主动脉瓣 / 疾患
G2P1 / 孕 / 36 / 周已产 / LOA,正常 / 分娩
心律失常 / 心房 / 纤颤 / 频发 / 室性早搏,心律失常 / ## / 心房颤动 / 心房 / 纤颤 / ## / 频发 / 性室 / 性期 / 前 / 收缩
左手 / 麻木 / 伴 / 右腿 / 无力 / 待查,肌无力
肝脏 / 肝细胞 / 弥漫性 / 脂肪 / 变性 / 及 / 水样 / 变性,脂肪肝
左 / 肱骨 / 骨质 / 缺损,骨质 / 破坏
左 / 跗 / 跖 / 关节 / 劳损,足 / 的 / 其他 / 和 / 未 / 特指 / 部位 / 的 / 扭伤 / 和 / 劳损
胰腺 / 肿瘤 / 囊 / 腺瘤,囊 / 腺瘤 / ## / 胰腺 / 良性肿瘤
宫颈 / CINI / 停经 / 原因,子宫颈 / 上皮 / 瘤样 / 病变 / CINI / 级 / ## / 停经
陈旧性 / 会阴 / 3 / 度 / 撕裂 / 阴道 / 前后 / 壁 / 膨出 / 2 / 度,陈旧性 / 会阴 / 裂伤 / ## / 阴道 / 前后 / 壁 / 脱垂
复诊 / T1112 / 髓内 / 囊肿 / 保守 / 治疗 / 中,脊髓 / 内 / 囊肿
右 / 上 / 肺癌 / 伴 / 全身 / 多发 / 转移 / IV / 期骨脑,右肺 / 上 / 叶 / 恶性肿瘤 / ## / 多 / 部位 / 继发 / 恶性肿瘤 / ## / 脑 / 继发 / 恶性肿瘤 / ## / 骨 / 继发 / 恶性肿瘤 / ## / 癌 / ## / 转移性 / 癌
直肠癌 / 新 / 辅助 / 化疗 / 后,直肠 / 恶性肿瘤 / ## / 化学治疗 / ## / 癌
嗅觉缺乏,嗅觉 / 丧失
左手 / 中 / 指指 / 背 / 皮肤 / 挫裂 / 及 / 缺损,手指 / 挫伤 / ## / 皮肤 / 缺损
左膝 / 腓肠肌 / 拉伤,小腿 / 后部 / 肌群 / 和 / 肌腱 / 损伤
慢性 / 阻塞性 / 肺气肿 / 疾病 / 急性 / 加重 / 期,阻塞性 / 肺气肿 / ## / 慢性 / 阻塞性 / 肺 / 疾病 / 急性 / 加重
附件 / 转移 / Ⅳ / 期 / 根治术 / 后 / Dixon / 术,子宫 / 附件 / 继发 / 恶性肿瘤
盆腔 / 淋巴结 / 继发 / 癌,盆腔 / 淋巴结 / 继发 / 恶性肿瘤 / ## / 继发性 / 癌
大疱 / 表皮 / 样癣 / 性 / 药疹,莱尔 / 综合征 / lyell / 综合征
慢性 / 淤血 / 性 / 脾肿大 / 伴 / 局部 / 梗死,慢性 / 充血性 / 脾大 / ## / 脾 / 梗死
胆囊 / 切除术 / 后 / 腹壁 / 粘连,胆囊 / 切除术 / 后 / 粘连 / ## / 腹壁 / 粘连
不慎 / 摔倒 / 致 / 左 / 髋部 / 着 / 地 / 受伤,髋部 / 损伤 / ## / 摔伤
右 / 额叶 / 胶质 / 母细胞 / 瘤,额叶 / 恶性肿瘤 / ## / 胶质 / 母细胞 / 瘤
弥漫 / 球性 / 增生 / 性 / 狼疮性 / 肾 / IVG,狼疮性 / 肾炎
小样儿 / 足 / 月,足 / 月 / 小样儿
右 / 下肢 / 麻木 / 原因 / 腰椎病,腰椎病
左腿 / 软组织 / 裂伤,下肢 / 未 / 特指 / 的 / 损伤 / 水平 / 未 / 特指
